                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.94772,                0.96849,                 1.1237,                 0.6384,                0.45791,                0.50321,                0.36066,                 1.0329,                 1.1143,                 1.2032,              0.0014753,              0.0014753,              0.0014753
                     55,                0.96022,                0.97881,                 1.1274,                0.62435,                0.44872,                0.48865,                0.35325,                 1.0564,                 1.1461,                 1.2193,              0.0014654,              0.0014654,              0.0014654
                     56,                0.96926,                0.98706,                 1.1257,                0.63335,                0.44181,                0.48986,                0.35116,                 1.0489,                 1.1749,                 1.2034,              0.0014555,              0.0014555,              0.0014555
                     57,                0.95365,                0.95802,                 1.1196,                0.64097,                0.43886,                0.48913,                0.34982,                  1.034,                 1.1391,                 1.2075,              0.0014456,              0.0014456,              0.0014456
                     58,                0.93016,                0.93427,                 1.1148,                0.62073,                 0.4714,                 0.5025,                0.36404,                 1.0057,                 1.1281,                  1.195,              0.0014357,              0.0014357,              0.0014357
                     59,                 0.9416,                0.94601,                 1.1121,                 0.6916,                0.43886,                0.50119,                0.35472,                 1.0425,                 1.1402,                 1.2021,              0.0014258,              0.0014258,              0.0014258
                     60,                0.93504,                0.93891,                 1.1147,                0.68481,                 0.4264,                0.48563,                0.34883,                 1.0304,                 1.1593,                 1.2151,              0.0014159,              0.0014159,              0.0014159
                     61,                0.92061,                0.92335,                 1.1031,                0.66017,                0.44831,                0.49552,                0.35415,                 1.0398,                 1.1288,                  1.222,               0.001406,               0.001406,               0.001406
                     62,                0.92553,                0.90822,                 1.1057,                0.67776,                0.42521,                  0.489,                0.35123,                 1.0273,                 1.1388,                 1.1999,              0.0013961,              0.0013961,              0.0013961
                     63,                 0.9101,                0.90042,                 1.1019,                0.63951,                0.45562,                0.49633,                0.35619,                 1.0364,                 1.1184,                 1.2006,              0.0013862,              0.0013862,              0.0013862
                     64,                0.94727,                0.91362,                 1.1193,                0.65043,                0.43886,                0.49365,                 0.3523,                 1.0471,                 1.1416,                 1.2247,              0.0013763,              0.0013763,              0.0013763
                     65,                0.90722,                0.89796,                 1.0935,                0.66561,                0.42991,                0.49485,                0.35286,                 1.0346,                 1.1028,                 1.2087,              0.0013664,              0.0013664,              0.0013664
                     66,                0.91263,                0.90357,                 1.0952,                0.69903,                0.43294,                0.49497,                0.35528,                 1.0305,                 1.1399,                 1.2016,              0.0013565,              0.0013565,              0.0013565
                     67,                0.89561,                0.86514,                 1.0915,                0.59618,                0.46446,                0.48855,                 0.3498,                  1.052,                 1.1729,                 1.2293,              0.0013466,              0.0013466,              0.0013466
                     68,                0.88371,                0.84836,                 1.0824,                0.69909,                0.42617,                0.49818,                0.35519,                 1.0428,                 1.1389,                 1.2215,              0.0013367,              0.0013367,              0.0013367
                     69,                0.89093,                0.83952,                 1.0825,                0.71127,                0.42516,                0.50494,                0.36697,                 1.0218,                 1.1059,                 1.2038,              0.0013268,              0.0013268,              0.0013268
                     70,                0.88132,                0.84403,                 1.0878,                 0.6756,                0.44872,                0.50625,                0.36529,                 1.0346,                 1.1335,                 1.2147,              0.0013169,              0.0013169,              0.0013169
                     71,                0.87956,                0.83155,                 1.0746,                0.74372,                0.41784,                0.49745,                0.35611,                 1.0384,                 1.1214,                 1.2236,               0.001307,               0.001307,               0.001307
                     72,                0.88451,                 0.8325,                 1.0792,                0.71148,                0.43044,                0.50119,                0.36161,                 1.0385,                 1.1168,                 1.2132,              0.0012971,              0.0012971,              0.0012971
